Date,Name,SO,Volume,Price,Last_vol,Avg_price,Profit,G_profit,Remain_Money,Equity,coin,timeframe,Demo/Real
1649493600000,tp_long,-1,47.0,3.464,0.0,0.0,0.610%,0.0987068107699426,1000.85,1000.85,CELOUSDT,5,demo
1649493600000,short,0,1487.0,0.1103,-1487.0,0.1103,0.000%,0.0,837.4,1001.4161,TLMUSDT,10,demo
1649493600000,short,0,1485.0,0.1103,-1485.0,0.1103,0.000%,0.0,836.73,1000.5255,TLMUSDT,5,demo
1649493000000,tp_short,-1,1485.0,0.1097,0.0,0.0,0.544%,0.0890532025420625,1001.35,1001.35,TLMUSDT,5,demo
1649493000000,tp_short,-1,6.0,25.676,0.0,0.0,1.820%,0.2856194221207057,1002.72,1002.72,WAVESUSDT,10,demo
1649492400000,tp_short,-1,6.0,25.656,0.0,0.0,1.897%,0.2976202381761973,1002.84,1002.84,WAVESUSDT,20,demo
1649493000000,tp_short,-1,6.0,25.724,0.0,0.0,1.637%,0.2568174635875245,1002.43,1002.43,WAVESUSDT,5,demo
1649493000000,long,0,47.0,3.445,47.0,3.445,0.000%,0.0,838.87,1000.785,CELOUSDT,5,demo
1649493000000,tp_short,-1,24.6,6.636,0.0,0.0,0.375%,0.061452644592076,1001.32,1001.32,ALICEUSDT,5,demo
1649493000000,tp_short,-1,24.5,6.619,0.0,0.0,0.660%,0.1078071691767514,1000.94,1000.94,ALICEUSDT,15,demo
1649493000000,tp_short,-1,104.0,1.5578,0.0,0.0,0.651%,0.1059156189593749,1002.54,1002.54,C98USDT,5,demo
1649493000000,tp_short,-1,104.0,1.5572,0.0,0.0,0.866%,0.1414494488231819,1001.28,1001.28,C98USDT,10,demo
1649493000000,tp_short,-1,1487.0,0.1095,0.0,0.0,0.725%,0.1187917789618114,1002.54,1002.54,TLMUSDT,10,demo
1649493000000,long,0,3.0,51.76,3.0,51.76,0.000%,0.0,844.65,999.93,AXSUSDT,5,demo
1649493000000,tp_short,-1,1.0,94.617,0.0,0.0,0.523%,0.0496883729207365,1000.69,1000.69,LUNAUSDT,5,demo
1649493000000,tp_short,-1,6.0,25.748,0.0,0.0,1.545%,0.2424164843209337,1002.29,1002.29,WAVESUSDT,15,demo
1649493000000,long,0,47.0,3.448,47.0,3.448,0.000%,0.0,838.77,1000.826,CELOUSDT,10,demo
1649493000000,long,0,58.5,2.798,58.5,2.798,0.000%,0.0,836.25,999.933,ANCUSDT,10,demo
1649493000000,long,0,58.5,2.798,58.5,2.798,0.000%,0.0,836.25,999.933,ANCUSDT,15,demo
1649492700000,tp_short,-1,9.0,16.611,0.0,0.0,1.043%,0.1575103956861159,1001.44,1001.44,NEARUSDT,5,demo
1649492400000,tp_short,-1,3.0,51.7,0.0,0.0,0.730%,0.1140079805586377,1001.0,1001.0,AXSUSDT,25,demo
1649492400000,long,0,3.0,51.7,3.0,51.7,0.000%,0.0,844.83,999.93,AXSUSDT,10,demo
1649492700000,tp_long,-1,47.0,3.466,0.0,0.0,0.610%,0.0986225812737017,1001.7,1001.7,CELOUSDT,5,demo
1649492400000,tp_long,-1,3.0,51.91,0.0,0.0,0.406%,0.0630044103087197,1000.49,1000.49,AXSUSDT,10,demo
1649492400000,short,0,6.0,25.887,-6.0,25.887,0.000%,0.0,847.04,1002.362,WAVESUSDT,5,demo
1649492400000,short,0,6.0,25.881,-6.0,25.881,0.000%,0.0,847.37,1002.656,WAVESUSDT,10,demo
1649492100000,short,0,9.0,16.764,-9.0,16.764,0.000%,0.0,850.5,1001.376,NEARUSDT,5,demo
1649491800000,short,0,104.0,1.5669,-104.0,1.5669,0.000%,0.0,838.25,1001.2076,C98USDT,10,demo
1649492100000,tp_long,-1,3.0,52.0,0.0,0.0,0.464%,0.0720050403528253,1000.58,1000.58,AXSUSDT,5,demo
1649492100000,short,0,104.0,1.5648,-104.0,1.5648,0.000%,0.0,839.73,1002.4692,C98USDT,5,demo
1649492100000,short,0,1.0,95.032,-1.0,95.032,0.000%,0.0,905.61,1000.642,LUNAUSDT,5,demo
1649491800000,long,0,3.0,51.7,3.0,51.7,0.000%,0.0,845.32,1000.42,AXSUSDT,10,demo
1649491800000,long,0,3.0,51.74,3.0,51.74,0.000%,0.0,845.29,1000.51,AXSUSDT,5,demo
1649491800000,tp_long,-1,3.0,52.01,0.0,0.0,0.522%,0.0809587110573595,1001.25,1001.25,AXSUSDT,5,demo
1649491800000,tp_long,-1,3.0,51.98,0.0,0.0,0.542%,0.0839647348113774,1001.19,1001.19,AXSUSDT,10,demo
1649491800000,tp_short,-1,1.0,94.623,0.0,0.0,0.430%,0.0408737590466912,1001.01,1001.01,LUNAUSDT,5,demo
1649491800000,tp_short,-1,104.0,1.5578,0.0,0.0,0.447%,0.0726206850045856,1003.13,1003.13,C98USDT,5,demo
1649491800000,tp_short,-1,1.0,110.23,0.0,0.0,0.712%,0.079003950197509,1000.69,1000.69,SOLUSDT,5,demo
